./maths tb or so/Linear Algebra Done Right.pdf	Linear Algebra Done Right
./maths tb or so/Rudin Solutions.collection/rudin ch 2.pdf	rudin ch 2
./maths tb or so/Rudin Solutions.collection/rudin ch 7.pdf	rudin ch 7
./maths tb or so/Rudin Solutions.collection/rudin ch 1.pdf	rudin ch 1
./maths tb or so/1300 Math Formulas.pdf	1300 Math Formulas
./maths tb or so/The math problems notebook.pdf	The math problems notebook
./maths tb or so/Elementary Number Theory - Kenneth H Rosen.pdf	Elementary Number Theory - Kenneth H Rosen
./maths tb or so/ Number Theory Lecture notes - Michael Stoll.pdf	 Number Theory Lecture notes - Michael Stoll
./maths tb or so/Modelling Fluid Flow.pdf	Modelling Fluid Flow
./maths tb or so/Algorithms-Atallah.djvu	Algorithms-Atallah
./maths tb or so/group theory.pdf	group theory
./maths tb or so/Elementary Number Theory - Burton.pdf	Elementary Number Theory - Burton
./maths tb or so/Graph Theory - Harary.djvu	Graph Theory - Harary
,./maths tb or so/An Introduction to the Theory of Numbers - Ivan Niven, Herbert S Zuckerman, Hugh L Montgomery.pdf	,An Introduction to the Theory of Numbers - Ivan Niven, Herbert S Zuckerman, Hugh L Montgomery
,./maths tb or so/Marek Jarnicki, Peter Pflug - Continuous Nowhere Differentiable Functions_ The Monsters of Analysis (2016).pdf	,Marek Jarnicki, Peter Pflug - Continuous Nowhere Differentiable Functions_ The Monsters of Analysis (2016)
./maths tb or so/Analytical Combinatorics.pdf	Analytical Combinatorics
./maths tb or so/Computer algebra and symbolic computation elementary algorithms by Joel S Cohen.pdf	Computer algebra and symbolic computation elementary algorithms by Joel S Cohen
./maths tb or so/Reading Writing And Proving.pdf	Reading Writing And Proving
./maths tb or so/Real Analysis Foundations - Krantz.pdf	Real Analysis Foundations - Krantz
./maths tb or so/Elementary Number Theory - Kenneth H Rosen - Solution Manual.pdf	Elementary Number Theory - Kenneth H Rosen - Solution Manual
./maths tb or so/Principles of mathematical analysis - Walter Rudin.pdf	Principles of mathematical analysis - Walter Rudin
./maths tb or so/A Walk Through Combinatorics.pdf	A Walk Through Combinatorics
,./maths tb or so/Introduction to combinatorics, Course Notes.pdf	,Introduction to combinatorics, Course Notes
,./maths tb or so/Ken Binmore - Game theory, a very short introduction.pdf	,Ken Binmore - Game theory, a very short introduction
./maths tb or so/Combinatoric - A Guided Tour.pdf	Combinatoric - A Guided Tour
./maths tb or so/Stationary Points of Functions of Two Variables.pdf	Stationary Points of Functions of Two Variables
./maths tb or so/Introduction to Real Analysis -Bartle and Sherbert.pdf	Introduction to Real Analysis -Bartle and Sherbert
,./maths tb or so/Sphere Packings, Lattices and Groups.djvu	,Sphere Packings, Lattices and Groups
./maths tb or so/Atlas of simple Groups - JH Conway.pdf	Atlas of simple Groups - JH Conway
./maths tb or so/A First Course in Abstract Algebra - John B Fraleigh - Solution Manual.pdf	A First Course in Abstract Algebra - John B Fraleigh - Solution Manual
./maths tb or so/Topology of Metric Spaces - S Kumaresan.djvu	Topology of Metric Spaces - S Kumaresan
./maths tb or so/Discrete Mathematics.pdf	Discrete Mathematics
./maths tb or so/Geometry Revisited.pdf	Geometry Revisited
./maths tb or so/Game Theory - Hans Peters.pdf	Game Theory - Hans Peters
./maths tb or so/Introductory Combinatrics - Brualdi.pdf	Introductory Combinatrics - Brualdi
./maths tb or so/Elementary Number Theory - Jone and Jones.pdf	Elementary Number Theory - Jone and Jones
./islamic art/Connections.djvu	Connections
./islamic art/Geometry of Design.pdf	Geometry of Design
./islamic art/Bourgoin Sources.pdf	Bourgoin Sources
./islamic art/The Analytic Art.djvu	The Analytic Art
,./islamic art/Symmetries of Islamic Geometrical Patterns - Abas SJ, Salman AS, Moustafa A.pdf	,Symmetries of Islamic Geometrical Patterns - Abas SJ, Salman AS, Moustafa A
./islamic art/Hankin ASI.pdf	Hankin ASI
./islamic art/Viewpoints.pdf	Viewpoints
./islamic art/Symetries.pdf	Symetries
./islamic art/Rosette Analysis.pdf	Rosette Analysis
./islamic art/Star Patterns - AJ Lee.pdf	Star Patterns - AJ Lee
./islamic art/Rosette Chapter.pdf	Rosette Chapter
,./islamic art/Art of the Islamic World A Resource for Educators - Maryam D. Ekhtiar, Claire Moore.pdf	,Art of the Islamic World A Resource for Educators - Maryam D. Ekhtiar, Claire Moore
,./islamic art/Islamic geometric patterns, their historical development and traditional methods of construction.pdf	,Islamic geometric patterns, their historical development and traditional methods of construction
./islamic art/Islamic Design - A Mathematical Approach.pdf	Islamic Design - A Mathematical Approach
./generative art/Making Music with Computers.pdf	Making Music with Computers
./generative art/Cell Noise And Processing.pdf	Cell Noise And Processing
./generative art/An Evolutionary Architecture - John Frazer.pdf	An Evolutionary Architecture - John Frazer
./generative art/pink noise.pdf	pink noise
./generative art/gifsicle.pdf	gifsicle
,./generative art/Texturing and Modeling, A Procedural Approach.pdf	,Texturing and Modeling, A Procedural Approach
./generative art/wavelet.pdf	wavelet
./generative art/Generative Art - Matt Pearsons.pdf	Generative Art - Matt Pearsons
./generative art/Programming Design Systems.pdf	Programming Design Systems
./generative art/A Companion to Digital Art.pdf	A Companion to Digital Art
./generative art/Mathematical Typography.pdf	Mathematical Typography
,./generative art/Learning Processing. A Beginner's Guide to Programming Images, Animation, and Interaction (Morgan Kaufmann Series) - Daniel Shiffman.pdf	,Learning Processing. A Beginner's Guide to Programming Images, Animation, and Interaction (Morgan Kaufmann Series) - Daniel Shiffman
./generative art/Mastering Open CV with practical computer vision projects.epub	Mastering Open CV with practical computer vision projects
,./generative art/Processing - Creative Coding and Generative Art in Processing - Ira Greenberg, Dianna Xu, Deepak Kumar.pdf	,Processing - Creative Coding and Generative Art in Processing - Ira Greenberg, Dianna Xu, Deepak Kumar
,./generative art/Code as Creative Medium -A Handbook for Computational Art and Design - Golan Levin,  Tega Brain.pdf	,Code as Creative Medium -A Handbook for Computational Art and Design - Golan Levin,  Tega Brain
./generative art/Processing - A Programming Handbook for Visual Designers and Artists.pdf	Processing - A Programming Handbook for Visual Designers and Artists
./generative art/venation.pdf	venation
./generative art/math of photogrammetry.pdf	math of photogrammetry
./generative art/3D Rendering in Computer Graphics - Patricia Dobbins.pdf	3D Rendering in Computer Graphics - Patricia Dobbins
./generative art/Computer Graphics from Scratch A Programmers Introduction to 3D Rendering - Gabriel Gambetta.pdf	Computer Graphics from Scratch A Programmers Introduction to 3D Rendering - Gabriel Gambetta
./generative art/Shaders for Game Programmers and Artists by Sebastien St-Laurent.pdf	Shaders for Game Programmers and Artists by Sebastien St-Laurent
./generative art/SVG Essentials - J. Eisenberg.pdf	SVG Essentials - J. Eisenberg
./generative art/Computer Graphics Programming in OpenGL Using C++.pdf	Computer Graphics Programming in OpenGL Using C++
./generative art/white noise filtered to pink.pdf	white noise filtered to pink
./generative art/The Laws of Simplicity.pdf	The Laws of Simplicity
,./generative art/Visualization in Medicine -Theory, Algorithms, and Applications.pdf	,Visualization in Medicine -Theory, Algorithms, and Applications
./generative art/Interactive Computer Graphics.pdf	Interactive Computer Graphics
,./generative art/Jim Blinn's Corner - Notation, Notation, Notation.pdf	,Jim Blinn's Corner - Notation, Notation, Notation
,./generative art/Topics in the Theory of Random Noise, Volume I General Theory of Rand - R.L. Stratonovich.djvu	,Topics in the Theory of Random Noise, Volume I General Theory of Rand - R.L. Stratonovich
./generative art/simplexnoise.pdf	simplexnoise
./generative art/Grokking Algorithms.pdf	Grokking Algorithms
./generative art/Interaction of Color.pdf	Interaction of Color
./generative art/minim.pdf	minim
,./generative art/Virtual Muse, Experiments in Computer Poetry (Wesleyan Poetry Series) - Charles I Hartman.pdf	,Virtual Muse, Experiments in Computer Poetry (Wesleyan Poetry Series) - Charles I Hartman
./generative art/orca.pdf	orca
./generative art/voss.pdf	voss
./generative art/OpenGL 4.0 Shading Language Cookbook.epub	OpenGL 4.0 Shading Language Cookbook
./generative art/Radiosity and Realistic Image Synthesis - Morgan Kaufmann.pdf	Radiosity and Realistic Image Synthesis - Morgan Kaufmann
./generative art/book of shader.pdf	book of shader
./generative art/The Nature of Code - Simulating Natural Systems with Processing - Daniel Shiffman.epub	The Nature of Code - Simulating Natural Systems with Processing - Daniel Shiffman
./generative art/GLSL Essentials.pdf	GLSL Essentials
./generative art/Point-based graphics.pdf	Point-based graphics
./standalone/The Laboratory Notebooks of Pierre and Marie Curie.pdf	The Laboratory Notebooks of Pierre and Marie Curie
./standalone/Corona Jihad - COVID19 Misinformation.pdf	Corona Jihad - COVID19 Misinformation
./standalone/Diffusion Limited Aggression.pdf	Diffusion Limited Aggression
./standalone/Noise Improv.pdf	Noise Improv
./standalone/Stars from Polygons in Contact.pdf	Stars from Polygons in Contact
./standalone/Knot.pdf	Knot
,./standalone/Cell biology, a short course.djvu	,Cell biology, a short course
./standalone/Building Up.pdf	Building Up
./standalone/Kircher's Mechanical Composer.pdf	Kircher's Mechanical Composer
./standalone/Penrose Lace.pdf	Penrose Lace
./standalone/Fractal Landscape.pdf	Fractal Landscape
./standalone/Simplex Noise.pdf	Simplex Noise
./standalone/Block Coherence.pdf	Block Coherence
./standalone/Pigeon Religion - BF Skinner.pdf	Pigeon Religion - BF Skinner
./standalone/Intuition - A Social Cognitive Neuroscience Approach.pdf	Intuition - A Social Cognitive Neuroscience Approach
./standalone/Data Hiding using DNA Compression.pdf	Data Hiding using DNA Compression
./standalone/Multi Color Dye Diffusion.pdf	Multi Color Dye Diffusion
./standalone/Five hundred and Seven Mechanical Movements - Henry T Brown.pdf	Five hundred and Seven Mechanical Movements - Henry T Brown
./standalone/Marching Cubes.pdf	Marching Cubes
./standalone/Male-Male Desire in Pharaonic Egypt.pdf	Male-Male Desire in Pharaonic Egypt
./standalone/Fractal Flame Algorithm.pdf	Fractal Flame Algorithm
./standalone/Lucien Carr.pdf	Lucien Carr
./standalone/Ants.pdf	Ants
./standalone/Multifractal Terrain.pdf	Multifractal Terrain
./standalone/Patern Classification Algorithm.pdf	Patern Classification Algorithm
./standalone/Worley Noise.pdf	Worley Noise
./standalone/Class of Local Interpolating Splines.pdf	Class of Local Interpolating Splines
./standalone/Pigeonhole.pdf	Pigeonhole
./standalone/Experiments in Processing.pdf	Experiments in Processing
./standalone/Fibbonaci DNA.pdf	Fibbonaci DNA
./standalone/Value Noise.pdf	Value Noise
./standalone/Why Knot.pdf	Why Knot
./standalone/thumbs/Implicit Neural Representations with Periodic	Implicit Neural Representations with Periodic
Activation Functions.pdf	Activation Functions
./standalone/Dooms Day.pdf	Dooms Day
./standalone/Recursive Algorithm for Catmull Rom Splines.pdf	Recursive Algorithm for Catmull Rom Splines
./standalone/Fast Simulation of CMB.pdf	Fast Simulation of CMB
./standalone/Acoustic Wave Sensor for DNA analysis.pdf	Acoustic Wave Sensor for DNA analysis
./standalone/Realistic Landscape.pdf	Realistic Landscape
./standalone/Mechanistic Theory of Life.pdf	Mechanistic Theory of Life
./standalone/Steering Behaviours.pdf	Steering Behaviours
./standalone/Pigeons in a Pelicon.pdf	Pigeons in a Pelicon
./standalone/Academic Ableism_ Disability and Higher Education - ay Timothy Dolmage.epub	Academic Ableism_ Disability and Higher Education - ay Timothy Dolmage
./standalone/fractals_fpt.pdf	fractals_fpt
./standalone/DNA addition.pdf	DNA addition
./standalone/kutum's mail.pdf	kutum's mail
./standalone/Cosmic Microwave Background.pdf	Cosmic Microwave Background
./standalone/Solar Equation.pdf	Solar Equation
./murderous maths/The Secret of Sums.epub	The Secret of Sums
./murderous maths/All Shapes and Sizes.epub	All Shapes and Sizes
./murderous maths/Mean and Vulgar Bits.pdf	Mean and Vulgar Bits
./murderous maths/ Murderous Maths.djvu	 Murderous Maths
./murderous maths/The Gobsmacking Galaxy.pdf	The Gobsmacking Galaxy
./murderous maths/The Most Epic Book of Maths EVER.epub	The Most Epic Book of Maths EVER
./languagesNcodes/Serbian Fluency 1.pdf	Serbian Fluency 1
./languagesNcodes/Polish-TY.pdf	Polish-TY
./languagesNcodes/Warlpiri.pdf	Warlpiri
./languagesNcodes/Python GUI Programming Cookbook.pdf	Python GUI Programming Cookbook
./languagesNcodes/Vietnamese North.pdf	Vietnamese North
,./languagesNcodes/Fijian Language, Handbook of the (Moore) (1893).pdf	,Fijian Language, Handbook of the (Moore) (1893)
./languagesNcodes/gsci_gsci_2009_gwichin_topical_dictionary.pdf	gsci_gsci_2009_gwichin_topical_dictionary
./languagesNcodes/Garo_ The Language of the Modhupur Mandi (Garo) - Vol 1 (Burling).pdf	Garo_ The Language of the Modhupur Mandi (Garo) - Vol 1 (Burling)
./languagesNcodes/Python Data Science Handbook.epub	Python Data Science Handbook
,./languagesNcodes/Lakota Language, Reading and Writing the (White Hat).pdf	,Lakota Language, Reading and Writing the (White Hat)
./languagesNcodes/Afrikaans-TY.pdf	Afrikaans-TY
./languagesNcodes/ZeroMQ.pdf	ZeroMQ
./languagesNcodes/OpenGL SuperBible.pdf	OpenGL SuperBible
./languagesNcodes/El Catalan Sin Esfuerzo - Catalan for Spanish Speaking People (Catalan and Spanish Edition) .pdf	El Catalan Sin Esfuerzo - Catalan for Spanish Speaking People (Catalan and Spanish Edition)
./languagesNcodes/PHP Cookbook.pdf	PHP Cookbook
./languagesNcodes/Persian-TY.pdf	Persian-TY
./languagesNcodes/Abstract Algebra Appliations.pdf	Abstract Algebra Appliations
./languagesNcodes/Japanese for Busy People.pdf	Japanese for Busy People
./languagesNcodes/Unofficial-Lakota-Language-Guide.pdf	Unofficial-Lakota-Language-Guide
,./languagesNcodes/Greg London - Impatient perl (2009, Unknown Publisher) - libgen.lc.pdf	,Greg London - Impatient perl (2009, Unknown Publisher) - libgen.lc
./languagesNcodes/Arabic-Egypt-Routledge.pdf	Arabic-Egypt-Routledge
./languagesNcodes/Latin - An Intensive Course (Moreland _ Fleischer).pdf	Latin - An Intensive Course (Moreland _ Fleischer)
./languagesNcodes/Welsh-three-months.pdf	Welsh-three-months
./languagesNcodes/ASL-dictionary.pdf	ASL-dictionary
./languagesNcodes/Latvian-Routledge.pdf	Latvian-Routledge
./languagesNcodes/Bengali-TY-Radice.pdf	Bengali-TY-Radice
./languagesNcodes/PL-C96.pdf	PL-C96
./languagesNcodes/Algorithms for Programmers.pdf	Algorithms for Programmers
,./languagesNcodes/Maori, Beginners (Harawira).pdf	,Maori, Beginners (Harawira)
./languagesNcodes/Quick Signs.pdf	Quick Signs
./languagesNcodes/Polish-Routledge.pdf	Polish-Routledge
./languagesNcodes/Manual_Aula_de_Galego_4_libro_completo.pdf	Manual_Aula_de_Galego_4_libro_completo
./languagesNcodes/Ktunaxa-+Colours.pdf	Ktunaxa-+Colours
./languagesNcodes/A Gateway To Sindarin.pdf	A Gateway To Sindarin
./languagesNcodes/Tasmanian (Crowley _ Dixon).pdf	Tasmanian (Crowley _ Dixon)
./languagesNcodes/many1000 kanjis - japanese dictionary (0) - libgen.lc.pdf	many1000 kanjis - japanese dictionary (0) - libgen.lc
./languagesNcodes/Tagalog for Beginners .pdf	Tagalog for Beginners
./languagesNcodes/Psycholinguistics.pdf	Psycholinguistics
,./languagesNcodes/Aymara, Beginning (Wexler).pdf	,Aymara, Beginning (Wexler)
./languagesNcodes/Swedish-Routledge.pdf	Swedish-Routledge
./languagesNcodes/arabic calligraphy.pdf	arabic calligraphy
./languagesNcodes/Czech-TY.pdf	Czech-TY
./languagesNcodes/Writing Linux Device Drivers in Assembly Language.pdf	Writing Linux Device Drivers in Assembly Language
./languagesNcodes/Hebrew-Grammar.pdf	Hebrew-Grammar
./languagesNcodes/Al-Kitaab fii Ta`allum al-`Arabiyya Part 3.pdf	Al-Kitaab fii Ta`allum al-`Arabiyya Part 3
./languagesNcodes/Burmese-Routledge.pdf	Burmese-Routledge
./languagesNcodes/Dutch-TY.pdf	Dutch-TY
./languagesNcodes/Dictionary Yaqui Yoeme Hiaki-English .pdf	Dictionary Yaqui Yoeme Hiaki-English
./languagesNcodes/Australian Kriol_ An Introduction to Conversational Kriol (Sandefur _ Sandefur).pdf	Australian Kriol_ An Introduction to Conversational Kriol (Sandefur _ Sandefur)
,./languagesNcodes/Eric Matthes - Python Crash Course_ A Hands-On, Project-Based Introduction to Programming (2015, No Starch Press) - libgen.lc.pdf	,Eric Matthes - Python Crash Course_ A Hands-On, Project-Based Introduction to Programming (2015, No Starch Press) - libgen.lc
./languagesNcodes/THEFOUNDERPRINCIPLEINCREOLEGENESIS.pdf	THEFOUNDERPRINCIPLEINCREOLEGENESIS
./languagesNcodes/Ktunaxa+Animals-+Birds.pdf	Ktunaxa+Animals-+Birds
./languagesNcodes/Analysing sentences.pdf	Analysing sentences
./languagesNcodes/Mapudungun.pdf	Mapudungun
./languagesNcodes/Nepali-TY.pdf	Nepali-TY
./languagesNcodes/Windows Commands.pdf	Windows Commands
./languagesNcodes/Latin-TY.pdf	Latin-TY
./languagesNcodes/Spanish-Grammar.pdf	Spanish-Grammar
./languagesNcodes/Portuguese-TY-Br.pdf	Portuguese-TY-Br
./languagesNcodes/El Coreano Basico.pdf	El Coreano Basico
./languagesNcodes/Australian Sign Language (Auslan)_ An introduction to sign language linguistics .pdf	Australian Sign Language (Auslan)_ An introduction to sign language linguistics
./languagesNcodes/Perl One-Liners 130 Programs That Get Things Done.epub	Perl One-Liners 130 Programs That Get Things Done
./languagesNcodes/Kannada Lessons for Beginners.pdf .pdf	Kannada Lessons for Beginners.pdf
./languagesNcodes/Kurmanji.pdf	Kurmanji
./languagesNcodes/Malayalam - A University Course and Reference Grammar (Moag).pdf	Malayalam - A University Course and Reference Grammar (Moag)
,./languagesNcodes/Cherokee, Introduction to (Howard _ Eby).pdf	,Cherokee, Introduction to (Howard _ Eby)
./languagesNcodes/Maltese-TY.pdf	Maltese-TY
./languagesNcodes/Diccionario Guaraní-Español y Español-Guaraní _ Ñe_êngueryru Avañe_e-Caraiñe_ê Ha Caraiñe_ê-Avañe_ê .pdf	Diccionario Guaraní-Español y Español-Guaraní _ Ñe_êngueryru Avañe_e-Caraiñe_ê Ha Caraiñe_ê-Avañe_ê
,./languagesNcodes/living language swahili, a complete course for beginners, book.pdf .pdf	,living language swahili, a complete course for beginners, book.pdf
./languagesNcodes/Low German - East Frisian dialect (Matras _ Reershemius).pdf	Low German - East Frisian dialect (Matras _ Reershemius)
./languagesNcodes/Lao Basics_ An Introduction to the Lao Language .pdf	Lao Basics_ An Introduction to the Lao Language
./languagesNcodes/Writing R Extensions.pdf	Writing R Extensions
,./languagesNcodes/Samoan Language, Grammar and Vocabulary of the (Neffgen) (1918).pdf	,Samoan Language, Grammar and Vocabulary of the (Neffgen) (1918)
,./languagesNcodes/DK - 15-Minute Arabic_ Learn in just 12 weeks (2018, DK Publishing) - libgen.li.pdf	,DK - 15-Minute Arabic_ Learn in just 12 weeks (2018, DK Publishing) - libgen.li
./languagesNcodes/Romanian-Routledge.pdf	Romanian-Routledge
./languagesNcodes/Tlingit Grammar Handbook (Crippen).pdf	Tlingit Grammar Handbook (Crippen)
./languagesNcodes/Scottish-TY.pdf	Scottish-TY
./languagesNcodes/Náhuatl como segunda lengua .pdf	Náhuatl como segunda lengua
./languagesNcodes/Guarani Basic Course. Part 1 .pdf	Guarani Basic Course. Part 1
./languagesNcodes/Tiuelis titlajtlajtos náhuatl _ Puede hablar el náhuatl .pdf	Tiuelis titlajtlajtos náhuatl _ Puede hablar el náhuatl
./languagesNcodes/An Introduction to Sociolinguistics .pdf	An Introduction to Sociolinguistics
./languagesNcodes/An Introduction to English Phonology.pdf	An Introduction to English Phonology
./languagesNcodes/3000basicJapa.pdf	3000basicJapa
./languagesNcodes/X-Ray - A Function Call Tracing System.pdf	X-Ray - A Function Call Tracing System
./languagesNcodes/Arabic-Routledge-Levantine.pdf	Arabic-Routledge-Levantine
./languagesNcodes/Arabic-Hippocrene.pdf	Arabic-Hippocrene
./languagesNcodes/Urdu-Routledge.pdf	Urdu-Routledge
./languagesNcodes/Glossika Mass Sentences Hakka (Sixian_Hailu) Fluency 1 .pdf	Glossika Mass Sentences Hakka (Sixian_Hailu) Fluency 1
./languagesNcodes/Spanish-Advanced.pdf	Spanish-Advanced
./languagesNcodes/Manual_Aula_de_Galego_3_resumo_gramatical.pdf	Manual_Aula_de_Galego_3_resumo_gramatical
./languagesNcodes/Manual_Aula_de_Galego_1_resumo_gramatical.pdf	Manual_Aula_de_Galego_1_resumo_gramatical
./languagesNcodes/Sorbian (Upper and Lower) (Stone).pdf	Sorbian (Upper and Lower) (Stone)
./languagesNcodes/Old English-TY.pdf	Old English-TY
./languagesNcodes/Tunumiit oraasiat_ Tunumiut oqaasii The East Greenlandic Inuit language .pdf	Tunumiit oraasiat_ Tunumiut oqaasii The East Greenlandic Inuit language
