Analytical Combinatorics 	 511.6  	 Science/Mathematics/General principles of mathematics/Analytic Combinatorics - Philippe Flajolet, Robert Sedgewick
A Walk Through Combinatorics 	 511.6  	 Science/Mathematics/General principles of mathematics/A Walk Through Combinatorics_ An Introduction To Enumeration And Graph Theory - Miklós Bóna
Discrete Mathematics 	 510  	 Science/Mathematics/Mathematics/Discrete Mathematics_ Elementary And Beyond - László Lovász, J. Pelikán, K. Vesztergombi, K. Vsztergombi
Game Theory - Hans Peters 	 519.3  	 Science/Mathematics/Probabilities & applied mathematics/Game Theory_ A Multi-Leveled Approach - Hans Peters, Hans Peters
Geometry Revisited 	 513.5  	 Science/Mathematics/Arithmetic/Geometry Revisited - Samuel L. Greitzer, H. S. M. Coxeter1907-2003  (Harold Scott Macdonald)
group theory 	 302.34  	 Social sciences/Social sciences, sociology & anthropology/Social interaction/Joining Together_ Group Theory And Group Skills - Frank P. Johnson, David W. Johnson, Frank P. 1935- Johnson
Introduction to Real Analysis -Bartle and Sherbert 	 515  	 Science/Mathematics/Analysis/Introduction To Real Analysis - Robert G. Bartle, Donald R. Sherbert
Linear Algebra Done Right 	 512.5  	 Science/Mathematics/Algebra/Linear Algebra Done Right - Sheldon Jay Axler, Springer Science+Business Media [Publisher]
Marek Jarnicki, Peter Pflug - Continuous Nowhere Differentiable Functions_ The Monsters of Analysis (2016) 	 515.222  	 Science/Mathematics/Analysis/Continuous Nowhere Differentiable Functions_ The Monsters Of Analysis - Marek Jarnicki, Peter Pflug
Modelling Fluid Flow 	 532.051015118  	 Science/Physics/Fluid mechanics; liquid mechanics/Modelling Fluid Flow_ The State Of The Art - Tamás Lajos, János Vad
Reading Writing And Proving 	 510  	 Science/Mathematics/Mathematics/Reading, Writing, And Proving_ A Closer Look At Mathematics - Ulrich Daepp, Pamela Gorkin
Sphere Packings, Lattices and Groups 	 511.6  	 Science/Mathematics/General principles of mathematics/Sphere Packings, Lattices, And Groups - N. J. A. 1939- Sloane, John H. Conway
The math problems notebook 	 510.76  	 Science/Mathematics/Mathematics/The Math Problems Notebook - Louis Funar, Valentin Boju